,,,,,,,,,,,,,,,"Do not use in model, ok to use to test",
HV64XBM,2021-05-31,average,6.6,"105,000",0,partial,BMW,1 Series,Automatic,Petrol,Black,Hatchback,"£5,557",,"£5,022","£5,800"
SV62LBJ,2021-05-31,good,8.7,"79,326",2,full,Audi,A1,Manual,Diesel,White,Hatchback,"£4,025",,"£3,772","£4,350"
CX16BBN,2021-05-31,poor,5.2,"74,000",2,full,Vauxhall,Astra,Manual,Diesel,Black,Hatchback,"£5,064",,"£4,526","£3,775"
X11JPG,2021-05-31,good,9,"80,000",0,full,Honda,CR-V,Manual,Petrol,White,SUV,"£4,583",,"£4,134","£4,675"
LV64WNE,2021-05-31,good,6.5,"60,000",2,partial,Citroen,C4,Manual,Petrol,Blue,Hatchback,"£3,055",,"£2,991","£3,275"
MW12NCX,2021-05-31,poor,8.9,"82,000",2,partial,Ford,Focus,Manual,Petrol,Silver,Hatchback,"£2,493",,"£1,698","£2,025"
BT08FSZ,2021-05-31,average,13,"68,000",4,none,Ford,Ka,Manual,Petrol,Red,Hatchback,£150,,£50,£175
WV14PNZ,2021-05-31,good,7.2,"74,055",2,full,Lexus,IS 300,Automatic,Petrol Hybrid,Grey,Saloon,"£8,031",,"£6,986","£7,450"
SL62ZWE,2021-05-31,good,8.6,"46,000",1,full,Volkswagen,Polo,Manual,Petrol,Red,Hatchback,"£3,678",,"£3,248","£3,750"
CK13GWO,2021-05-31,good,8.1,"83,000",2,partial,Audi,A1,Manual,Petrol,Grey,Hatchback,"£5,398",,"£5,054","£5,550"
FG64UZF,2021-05-31,average,6.5,"108,507",1,partial,Vauxhall,Insignia,Manual,Diesel,Red,Hatchback,"£3,615",,"£2,776","£3,025"
SK12MLY,2021-05-31,good,9.3,"76,000",2,none,Citroen,DS3,Automatic,Petrol,Black,Hatchback,"£2,553",,"£1,917","£2,500"
SD60XYW,2021-05-31,poor,10.6,"88,000",1,none,Vauxhall,Astra,Manual,Petrol,White,Hatchback,£976,,£316,£825
KY61CVK,2021-05-31,average,9.6,"105,952",4,partial,Vauxhall,Astra,Manual,Diesel,Black,Hatchback,£618,,£550,"£1,050"
LV13WJJ,2021-05-31,poor,8,"76,000",1,partial,Audi,A3,Manual,Petrol,Silver,Hatchback,"£5,954",,"£5,127","£5,050"
EO62JNV,2021-05-31,average,8.7,"84,500",1,full,BMW,5 Series,Manual,Diesel,Black,Saloon,"£5,098",,"£4,087","£4,600"
MT62UJR,2021-05-31,good,8.5,"95,000",1,full,Audi,A1,Manual,Diesel,Grey,Hatchback,"£4,651",,"£4,250","£4,725"
BT59VFZ,2021-05-31,average,11.3,"96,462",1,partial,Audi,A4,Automatic,Diesel,Black,Saloon,"£4,304",,"£2,916","£4,100"
DN56JDU,2021-05-31,poor,14.3,"107,000",2,full,Honda,Jazz,Manual,Petrol,Black,Hatchback,£207,,£233,£375
HK64TRV,2021-05-31,good,6.3,"41,000",0,full,Fiat,500,Manual,Petrol,Green,Hatchback,"£2,848",,"£2,360","£2,975"
MW56JWP,2021-05-31,good,14.4,"161,232",2,none,Volkswagen,Golf Plus,Manual,Diesel,Blue,Hatchback,£150,,£50,£350
AF61VFX,2021-05-31,average,9.7,"103,000",4,partial,SEAT,Ibiza,Manual,Petrol,Red,Hatchback,"£1,436",,"£1,140","£1,500"
GN13OVV,2021-05-31,average,8.2,"93,000",1,full,Honda,CR-V,Manual,Petrol,Brown,SUV,"£4,971",,"£4,179","£4,000"
YH58YAO,2021-05-31,good,12.3,"106,000",4,full,Mazda,Mazda2,Manual,Diesel,Black,Hatchback,£303,,£369,£400
BJ07YDZ,2021-05-31,good,14.1,"147,700",3,partial,Jeep,Grand Cherokee,Automatic,Diesel,Black,SUV,"£1,348",,"£1,215","£1,375"
BN12YGA,2021-05-31,good,9.1,"159,000",2,full,Ford,Focus,Manual,Diesel,Blue,Estate,£613,,£732,"£1,125"
NA13DZH,2021-05-31,good,8.1,"163,000",1,full,Volvo,V40,Manual,Diesel,Blue,Hatchback,"£2,291",,"£2,147","£2,375"
KY08UNU,2021-05-31,average,13.2,"80,343",3,partial,Vauxhall,Meriva,Manual,Petrol,Silver,MPV,£248,,£50,£300
DU12NVP,2021-05-31,good,9.3,"85,284",1,full,Volkswagen,Golf,Manual,Petrol,Silver,Hatchback,"£3,778",,"£3,411","£3,700"
BF07XDA,2021-05-31,poor,14.2,"100,000",2,none,Ford,Focus,Manual,Petrol,Blue,Hatchback,£239,,£50,£350
RE11KZF,2021-05-31,good,10.1,"69,500",2,partial,Audi,A4,Manual,Diesel,Black,Saloon,"£4,556",,"£3,532","£4,450"
FD10CHL,2021-05-31,poor,11,"76,000",1,full,Vauxhall,Astra,Manual,Petrol,Silver,Hatchback,"£1,186",,£757,"£1,050"
WM11BBN,2021-05-31,average,9.9,"63,000",4,none,Ford,Focus,Manual,Petrol,Black,Hatchback,"£2,862",,"£2,057","£2,625"
LG12MVJ,2021-05-31,average,9,"82,000",1,partial,Renault,Megane,Manual,Petrol,White,Estate,"£1,923",,"£1,500","£2,025"
WF12YZY,2021-05-31,average,8.9,"66,600",2,partial,Kia,Sportage,Manual,Diesel,White,SUV,"£5,857",,"£4,602","£5,800"
SN14SXK,2021-05-31,average,7.2,"45,000",2,full,Audi,A3,Manual,Petrol,Black,Hatchback,"£7,895",,"£6,239","£7,050"
SL60ARU,2021-05-31,average,10.7,"79,660",2,partial,Toyota,Auris,Manual,Petrol,Blue,Hatchback,"£2,011",,"£1,417","£1,750"
MJ06LPY,2021-05-31,poor,15.1,"129,000",2,none,Ford,Fiesta,Manual,Petrol,Blue,Hatchback,£150,,£50,£150
LP59OJV,2021-05-31,excellent,11.3,"32,600",4,full,Hyundai,i10,Automatic,Petrol,Red,Hatchback,"£2,809",,"£3,000","£3,025"
CB02LOV,2021-05-31,average,10.9,"37,000",1,partial,Mazda,MX-5,Manual,Petrol,Silver,Convertible,"£5,189",,"£4,165","£5,000"
MM13UPS,2021-05-31,average,7.8,"23,000",0,full,Hyundai,i10,Manual,Petrol,White,Hatchback,"£2,367",,"£1,768","£2,275"
YS08FHP,2021-05-31,good,13,"163,334",2,full,Volkswagen,Passat,Manual,Diesel,Black,Estate,£240,,£567,£750
KS08YBN,2021-05-31,good,13,"115,000",2,full,Audi,A3,Automatic,Diesel,Red,Hatchback,"£1,609",,"£1,251","£1,850"
SL13RAU,2021-05-31,poor,8,"74,000",2,full,Volkswagen,Golf,Manual,Diesel,Black,Hatchback,"£4,899",,"£3,665","£3,925"
WJ59PXA,2021-05-31,poor,11.7,"181,000",2,partial,BMW,3 Series,Manual,Diesel,Silver,Saloon,£150,,£454,£850
SV17YXG,2021-05-31,average,4.2,"73,000",2,full,Toyota,Avensis,Manual,Diesel,Blue,Estate,"£7,082",,"£5,842","£6,150"
BJ11YTW,2021-05-31,excellent,10.2,"74,200",2,partial,Audi,A4 Avant,Manual,Diesel,Grey,Estate,"£5,113",,"£4,630","£5,400"
FH63EHB,2021-05-31,average,7.4,"58,000",2,full,Toyota,AYGO,Manual,Petrol,White,Hatchback,"£2,118",,"£1,338","£2,025"
N5AFX,2021-05-31,excellent,4.2,"71,000",1,full,BMW,4 Series Gran Coupe,Automatic,Diesel,Black,Hatchback,"£13,797",,"£15,190","£14,300"
BF10PHA,2021-05-31,good,11,"120,000",2,partial,Vauxhall,Astra,Manual,Petrol,Blue,Hatchback,£518,,£577,£950
MW08JVU,2021-05-31,average,13,"80,000",3,full,Ford,Fiesta,Manual,Petrol,Blue,Hatchback,£924,,£507,£750
RF08YFB,2021-05-31,average,12.9,"120,818",1,full,Mercedes-Benz,A Class,Automatic,Petrol,Black,Hatchback,£506,,£678,£800
GK57WKA,2021-05-31,average,13.8,"83,147",4,partial,MINI,Hatch,Manual,Petrol,White,Hatchback,"£1,891",,"£1,252","£1,675"
SW10CUY,2021-06-01,good,11,"86,245",2,partial,SKODA,Fabia,Manual,Petrol,Blue,Hatchback,"£1,130",,"£1,108","£1,325"
FH14PUA,2021-06-01,good,6.8,"130,000",2,none,Jaguar,XF,Automatic,Diesel,Black,Saloon,"£4,836",,"£4,603","£5,600"
WR59NBY,2021-06-01,poor,11.5,"73,141",1,partial,Vauxhall,Zafira,Manual,Petrol,Black,MPV,"£1,241",,£757,"£1,025"
LS60VUP,2021-06-01,good,10.5,"47,000",1,full,Mercedes-Benz,E Class,Automatic,Diesel,Silver,Saloon,"£6,486",,"£5,742","£6,550"
M22CEP,2021-06-01,good,7.5,"76,225",1,partial,MINI,Countryman,Manual,Diesel,Grey,SUV,"£4,512",,"£4,246","£4,750"
CA11XMM,2021-06-01,average,7.8,"27,800",4,partial,Vauxhall,Corsa,Manual,Petrol,Grey,Hatchback,"£3,502",,"£2,650","£3,250"
DE62XNS,2021-06-01,average,8.6,"135,000",3,full,SEAT,Leon,Manual,Diesel,White,Hatchback,"£1,296",,"£1,087","£1,575"
MV13PVE,2021-06-01,good,8.2,"111,000",1,partial,Vauxhall,Astra,Manual,Diesel,Black,Hatchback,"£1,264",,£949,"£1,400"
DA57FVD,2021-06-01,poor,13.5,"120,000",3,none,Volkswagen,Golf,Manual,Diesel,Silver,Hatchback,£693,,£334,£725
J700JRG,2021-06-01,good,7.5,"31,000",2,partial,MINI,Hatch,Manual,Petrol,White,Hatchback,"£7,458",,"£5,487","£6,700"
BK07VVU,2021-06-01,poor,14,"119,650",4,partial,Audi,A3,Manual,Diesel,Black,Hatchback,£722,,£326,£750
YB57AWM,2021-06-01,average,13.5,"121,000",3,none,Volkswagen,Golf,Manual,Diesel,Grey,Hatchback,£676,,£515,£900
BF08GOC,2021-06-01,average,13.3,"129,531",3,full,Mitsubishi,Lancer,Manual,Petrol,Grey,Estate,£150,,£341,£350
FL63RFE,2021-06-01,average,7.7,"70,000",1,none,Vauxhall,Corsa,Manual,Petrol,Silver,Hatchback,"£1,732",,"£1,219","£1,725"
LE06AVT,2021-06-01,average,14.8,"63,400",2,none,Volkswagen,Polo,Manual,Petrol,Blue,Hatchback,"£1,126",,£525,"£1,050"
RV63YBG,2021-06-01,good,7.3,"72,890",1,partial,Mercedes-Benz,B Class,Automatic,Diesel,Silver,Hatchback,"£5,123",,"£4,887","£5,700"
N444REJ,2021-06-01,good,13.7,"127,000",3,partial,BMW,3 Series,Manual,Petrol,Black,Saloon,£369,,£523,£775
B4NLA,2021-06-01,excellent,8.9,"90,000",2,full,BMW,1 Series,Manual,Diesel,Black,Hatchback,"£4,100",,"£4,405","£4,350"
YD08XAG,2021-06-01,average,13.2,"135,000",4,none,BMW,1 Series,Manual,Petrol,Black,Hatchback,£602,,£525,£825
KM13JPU,2021-06-01,poor,8.1,"121,251",2,partial,Citroen,DS3,Manual,Diesel,Yellow,Hatchback,"£1,419",,£824,"£1,125"
SM56VHE,2021-06-01,poor,14.3,"104,000",4,partial,Saab,9-3,Manual,Diesel,Grey,Estate,£496,,£278,£425
FE15SPZ,2021-06-01,average,6.2,"73,100",3,full,BMW,2 Series,Manual,Diesel,Grey,Coupe,"£8,729",,"£7,910","£8,000"
HY63CXN,2021-06-01,good,7.8,"79,000",3,partial,Mercedes-Benz,CLA Class,Automatic,Diesel,Grey,Coupe,"£10,828",,"£9,688","£10,500"
HN07MUE,2021-06-01,poor,14,"161,608",1,partial,Renault,Scenic,Manual,Diesel,Silver,MPV,£150,,£50,£100
M15CTC,2021-06-01,excellent,8.9,"86,000",0,full,Ford,Kuga,Manual,Diesel,White,SUV,"£3,933",,"£4,000","£4,550"
OV06LTF,2021-06-01,poor,15.1,"131,000",1,partial,Mitsubishi,Shogun,Automatic,Diesel,Black,SUV,"£1,927",,"£1,003","£1,250"
CS11JAG,2021-06-01,good,9.8,"180,000",0,partial,Jaguar,XF,Automatic,Diesel,Blue,Saloon,"£2,665",,"£2,245","£3,275"
SY12SPZ,2021-06-01,average,9.2,"62,000",3,none,Peugeot,207,Manual,Petrol,Blue,Hatchback,"£1,229",,£558,£900
AK56UEH,2021-06-01,average,14.5,"69,000",1,full,Volkswagen,Golf,Manual,Petrol,Black,Hatchback,"£1,067",,£851,"£1,150"
SK08HLH,2021-06-01,poor,13.2,"158,000",4,partial,Ford,Fiesta,Manual,Petrol,Silver,Hatchback,£150,,£50,£150
PX63GSZ,2021-06-01,poor,7.7,"55,500",2,full,Ford,Focus,Manual,Petrol,White,Hatchback,"£5,321",,"£3,640","£4,450"
GL60RHF,2021-06-01,poor,10.3,"84,500",2,partial,Ford,Fiesta,Manual,Petrol,Grey,Hatchback,"£1,602",,£906,"£1,325"
KN57GLK,2021-06-01,good,13.6,"59,890",3,full,Peugeot,307 CC,Automatic,Petrol,Gold,Convertible,"£1,005",,£527,"£1,100"
KR57KFC,2021-06-01,good,13.3,"98,000",1,partial,SKODA,Fabia,Manual,Petrol,Blue,Hatchback,£542,,£520,£800
SL58PKZ,2021-06-01,poor,12.6,"105,300",3,partial,Mazda,Mazda6,Manual,Petrol,Grey,Hatchback,£529,,£300,£550
NM08CWX,2021-06-01,poor,12.9,"188,000",2,partial,Ford,Focus,Manual,Petrol,Blue,Hatchback,£150,,£50,£150
J70FNY,2021-06-01,good,8.5,"61,500",1,full,Nissan,Qashqai,Automatic,Petrol,Silver,SUV,"£5,582",,"£5,375","£5,650"
WL12CBV,2021-06-01,average,9.1,"55,000",3,partial,SEAT,Ibiza,Manual,Diesel,Black,Hatchback,"£2,762",,"£1,633","£2,425"
DG08LHJ,2021-06-01,poor,13.2,"101,412",2,full,Toyota,Auris,Manual,Petrol,Black,Hatchback,£526,,£318,£675
M25LOU,2021-06-01,good,7.6,"25,000",2,full,BMW,i3,Automatic,Electric,White,Hatchback,"£9,226",,"£7,850","£9,350"
LD59WXB,2021-06-01,poor,11.6,"151,713",1,partial,Honda,Civic,Manual,Diesel,Black,Hatchback,£763,,£376,£750
SK15PYF,2021-06-01,excellent,6.2,"109,000",2,full,SKODA,Octavia,Manual,Diesel,Blue,Hatchback,"£4,180",,"£4,500","£4,650"
HV62USY,2021-06-01,poor,8.5,"76,500",2,partial,Renault,Grand Scenic,Manual,Diesel,Bronze,MPV,"£2,793",,"£1,988","£2,050"
LM06NFX,2021-06-01,good,14.9,"89,000",0,partial,Volkswagen,Golf Plus,Manual,Diesel,Black,Hatchback,£688,,£536,£900
CE12UGY,2021-06-01,good,9.2,"73,000",1,full,Kia,Rio,Manual,Petrol,Blue,Hatchback,"£1,876",,"£1,816","£1,950"
AU14EJJ,2021-06-01,average,6.9,"72,000",1,full,BMW,4 Series,Manual,Petrol,Black,Convertible,"£11,590",,"£10,624","£10,200"
OV60TWG,2021-06-01,average,10.5,"104,000",2,partial,Toyota,Urbancruiser,Manual,Diesel,Silver,Hatchback,"£1,596",,"£1,260","£1,625"
YS10ZDO,2021-06-01,poor,10.8,"160,000",3,none,Ford,Focus,Manual,Petrol,Black,Hatchback,£150,,£218,£350
GC65HVR,2021-06-01,excellent,5.3,"25,000",1,full,Ford,Ka,Manual,Petrol,White,Hatchback,"£3,803",,"£3,570","£3,800"
WN14XOO,2021-06-01,good,7.1,"61,480",1,partial,Ford,Fiesta,Manual,Petrol,Black,Hatchback,"£3,354",,"£2,866","£3,600"
ST60HYV,2021-06-01,good,10.5,"45,504",1,none,Vauxhall,Astra,Manual,Petrol,Black,Hatchback,"£1,603",,£723,"£1,650"
PN14DTZ,2021-06-01,poor,7.3,"39,000",1,partial,Toyota,RAV4,Manual,Diesel,Red,SUV,"£9,016",,"£7,987","£8,900"
RF16OTS,2021-06-01,average,4.9,"75,000",1,partial,Mercedes-Benz,E Class,Automatic,Diesel,Grey,Saloon,"£13,832",,"£12,998","£13,550"
EY10HMC,2021-06-01,good,11.2,"60,880",1,full,Nissan,Note,Automatic,Petrol,Grey,Hatchback,"£2,148",,"£1,661","£2,300"
DS09JMO,2021-06-01,average,11.9,"102,000",2,partial,Vauxhall,Corsa,Manual,Petrol,Black,Hatchback,£420,,£388,£575
KV12CFZ,2021-06-01,good,9.3,"52,000",2,full,Hyundai,Santa Fe,Manual,Diesel,Blue,SUV,"£6,308",,"£5,411","£6,200"
VO02TOM,2021-06-01,good,8.7,"78,000",1,full,Volkswagen,Golf,Manual,Diesel,Grey,Hatchback,"£3,875",,"£3,537","£3,925"
NL09OMC,2021-06-01,good,12,"120,000",2,partial,Renault,Grand Scenic,Manual,Diesel,Beige,MPV,£373,,£546,£825
WL08VAF,2021-06-01,good,12.9,"115,000",3,partial,BMW,X5,Automatic,Diesel,Black,SUV,"£6,017",,"£5,487","£5,850"
WL07FMM,2021-06-01,poor,14,"63,900",1,full,Mitsubishi,Colt,Manual,Petrol,Red,Hatchback,£150,,£50,£250
LR16VJJ,2021-06-01,good,5.2,"90,000",2,partial,Mercedes-Benz,E Class,Automatic,Diesel,Black,Saloon,"£9,003",,"£8,625","£9,350"
AV11LLK,2021-06-01,poor,10.2,"98,000",2,partial,Volkswagen,Golf,Automatic,Petrol,Black,Hatchback,"£3,514",,"£2,895","£2,750"
VE12TFK,2021-06-01,average,8.9,"68,850",2,full,Peugeot,208,Automatic,Diesel,Grey,Hatchback,"£2,402",,"£1,873","£2,150"
YJ63GKO,2021-06-01,good,7.7,"43,500",1,partial,BMW,3 Series,Manual,Diesel,Red,Saloon,"£7,860",,"£7,287","£8,400"
S111CEC,2021-06-01,poor,13.5,"60,000",4,full,BMW,6 Series,Automatic,Diesel,Blue,Coupe,"£6,976",,"£4,977","£4,825"
HV13MWN,2021-06-01,good,8.1,"77,800",2,partial,Ford,Focus,Manual,Diesel,White,Hatchback,"£3,071",,"£2,551","£3,275"
GX18RXB,2021-06-01,good,3.2,"27,900",0,none,Land Rover,Range Rover,Automatic,Diesel,Black,SUV,"£47,385",,"£42,727","£44,300"
NX63YTE,2021-06-01,average,7.6,"25,000",2,partial,Ford,Fiesta,Automatic,Petrol,Yellow,Hatchback,"£5,334",,"£4,628","£5,050"
CN08VRO,2021-06-01,excellent,13.1,"103,000",2,full,Audi,Q7,Automatic,Diesel,Silver,SUV,"£5,596",,"£6,500","£6,000"
CN13ZUD,2021-06-01,average,8.3,"78,000",2,partial,Nissan,Qashqai,Manual,Petrol,Black,SUV,"£4,498",,"£4,125","£4,225"
RK62XFE,2021-06-01,good,8.5,"157,000",4,none,Honda,Insight,Automatic,Petrol Hybrid,Silver,Hatchback,"£1,830",,"£1,473","£2,050"
MA59TTE,2021-06-01,good,11.7,"108,000",0,full,Vauxhall,Astra,Manual,Petrol,Black,Hatchback,£341,,£407,£650
AV62KXY,2021-06-01,good,8.7,"45,000",3,full,Hyundai,i10,Manual,Petrol,Silver,Hatchback,"£1,781",,"£1,371","£1,825"
BG08MPF,2021-06-01,average,13.1,"109,000",4,none,Ford,Focus,Manual,Diesel,Black,Hatchback,£281,,£323,£475
KE15MDX,2021-06-01,good,5.9,"119,050",1,full,Toyota,Avensis,Manual,Diesel,Silver,Estate,"£4,658",,"£3,420","£3,950"
AF61VFX,2021-06-01,average,9.7,"103,000",2,partial,SEAT,Ibiza,Manual,Petrol,Red,Hatchback,"£1,443",,"£1,153","£1,550"
LT60FMU,2021-06-01,excellent,10.5,"40,100",1,full,Volkswagen,Polo,Manual,Petrol,Blue,Hatchback,"£3,568",,"£4,340","£4,025"
HT64DLV,2021-06-01,average,6.3,"66,855",1,full,Renault,Clio,Manual,Petrol,Silver,Hatchback,"£3,222",,"£2,677","£3,025"
EJ62UMV,2021-06-01,good,8.5,"29,000",0,full,Hyundai,ix35,Manual,Diesel,White,SUV,"£5,894",,"£4,657","£6,100"
Y5JAX,2021-06-01,good,9.7,"100,700",1,full,MINI,Hatch,Manual,Diesel,Blue,Hatchback,"£1,680",,"£1,544","£1,875"
EJ12UTX,2021-06-01,good,9,"134,000",2,full,Toyota,Avensis,Manual,Diesel,White,Estate,"£1,617",,"£1,659","£1,825"
LD57VFS,2021-06-01,poor,13.7,"120,000",0,full,Citroen,Grand C4 Picasso,Automatic,Diesel,Beige,MPV,£161,,£274,£400
DF64TFN,2021-06-01,average,6.4,"72,000",2,partial,SEAT,Leon,Automatic,Diesel,Black,Hatchback,"£6,834",,"£6,230","£6,500"
GY62XUK,2021-06-01,excellent,8.5,"85,000",2,full,Ford,Fiesta,Manual,Petrol,Blue,Hatchback,"£1,952",,"£2,000","£2,200"
JD57TAT,2021-06-01,good,7,"64,500",4,full,BMW,3 Series,Automatic,Diesel,Grey,Estate,"£12,902",,"£10,192","£11,850"
PF06OXK,2021-06-01,poor,14.9,"97,000",1,full,Ford,Focus,Manual,Diesel,Black,Hatchback,£432,,£50,£300
DA10BFP,2021-06-01,poor,11,"54,500",1,partial,Volkswagen,Passat,Manual,Petrol,Grey,Saloon,"£3,589",,"£1,988","£2,125"
MK18OHU,2021-06-01,good,3.3,"36,500",4,full,SEAT,Leon,Manual,Petrol,Grey,Hatchback,"£16,952",,"£15,896","£15,200"
KR10BCO,2021-06-01,poor,11,"100,000",1,partial,Volkswagen,Jetta,Manual,Diesel,Black,Saloon,"£1,530",,£757,"£1,200"
WJ62CDU,2021-06-01,good,8.7,"37,600",2,partial,Toyota,Yaris,Manual,Petrol,Blue,Hatchback,"£3,577",,"£2,874","£3,525"
GX61SKJ,2021-06-01,average,9.4,"83,000",2,partial,SEAT,Ibiza,Manual,Petrol,Silver,Hatchback,"£1,890",,"£1,280","£1,850"
N6GOG,2021-06-01,poor,10.7,"131,500",3,partial,Land Rover,Discovery 4,Automatic,Diesel,Grey,SUV,"£8,747",,"£8,151","£7,350"
BN09YDX,2021-06-02,poor,12.2,"79,626",1,full,Peugeot,207,Manual,Petrol,Silver,Hatchback,£579,,£248,£375
KR07SER,2021-06-02,good,11.5,"138,000",1,partial,Mazda,Mazda6,Manual,Petrol,Black,Hatchback,£231,,£524,£600
HG60ZFE,2021-06-02,good,10.4,"97,000",2,full,Suzuki,Alto,Manual,Petrol,Blue,Hatchback,£269,,£534,£700
NA13JAU,2021-06-02,good,8.1,"75,500",2,partial,Ford,Focus,Automatic,Petrol,Brown,Estate,"£3,765",,"£3,070","£3,425"
P44TEW,2021-06-02,excellent,7.7,"56,000",1,full,SKODA,Fabia,Manual,Diesel,Black,Hatchback,"£3,073",,"£2,765","£2,650"
YC08OUX,2021-06-02,poor,13.2,"137,606",2,partial,Land Rover,Freelander 2,Automatic,Diesel,Black,SUV,"£3,047",,"£2,333","£2,650"
PF14EFE,2021-06-02,good,6.9,"71,000",2,partial,Volkswagen,Golf,Manual,Diesel,Black,Hatchback,"£7,085",,"£6,164","£6,900"
OV57ULN,2021-06-02,good,13.5,"80,000",1,full,Ford,Ka,Manual,Petrol,Red,Hatchback,£150,,£50,£175
AU61TKJ,2021-06-02,average,9.7,"60,000",1,partial,Renault,Clio,Manual,Petrol,Blue,Hatchback,"£1,106",,£723,"£1,100"
YG67EER,2021-06-02,excellent,3.7,"80,000",2,none,SKODA,Superb,Manual,Diesel,Black,Estate,"£10,963",,"£10,715","£11,350"
M9XXK,2021-06-02,good,10.1,"25,703",2,full,Jaguar,XK,Automatic,Petrol,Grey,Coupe,"£17,937",,"£15,789","£17,000"
SE09KPX,2021-06-02,good,11.8,"85,000",3,full,Honda,Insight,Automatic,Petrol Hybrid,Blue,Hatchback,"£2,204",,"£2,178","£2,550"
PJ02LOZ,2021-06-02,average,11.2,"74,000",4,partial,Vauxhall,Astra,Manual,Petrol,Red,Hatchback,"£1,575",,"£1,136","£1,400"
FY61OGO,2021-06-02,average,9.5,"90,300",3,partial,Nissan,Qashqai,Manual,Diesel,White,SUV,"£3,217",,"£2,160","£3,150"
GU62XVE,2021-06-02,good,8.7,"76,000",3,full,BMW,X5,Automatic,Diesel,Black,SUV,"£10,656",,"£9,236","£9,450"
FH56ONX,2021-06-02,poor,14.4,"193,000",3,none,Volkswagen,Golf Plus,Manual,Petrol,Blue,Hatchback,£150,,£50,£150
GY64BPZ,2021-06-02,good,6.6,"30,500",2,full,Toyota,AYGO,Manual,Petrol,Blue,Hatchback,"£4,037",,"£3,934","£3,925"
BK07VVU,2021-06-02,average,14,"119,650",4,partial,Audi,A3,Manual,Diesel,Black,Hatchback,£720,,£434,£875
ST60HYV,2021-06-02,good,10.5,"45,531",1,none,Vauxhall,Astra,Manual,Petrol,Black,Hatchback,"£1,613",,£679,"£1,650"
YN56VGT,2021-06-02,poor,14.5,"125,000",1,none,Ford,Galaxy,Manual,Diesel,Grey,MPV,£765,,£473,£925
NA14ZLZ,2021-06-02,good,7.1,"43,257",1,full,Fiat,Panda,Manual,Petrol,Black,Hatchback,"£2,073",,"£1,688","£2,175"
WJ13YSM,2021-06-02,good,8.1,"33,000",0,full,Ford,Focus,Manual,Petrol,Red,Hatchback,"£4,295",,"£3,697","£4,300"
DG61DYU,2021-06-02,average,9.8,"80,000",2,partial,Volkswagen,Polo,Manual,Petrol,Black,Hatchback,"£2,824",,"£2,177","£2,725"
C5OCA,2021-06-02,excellent,9.9,"72,000",1,full,Mercedes-Benz,E Class,Automatic,Diesel,Blue,Coupe,"£6,071",,"£6,285","£6,100"
SA60XWB,2021-06-02,good,10.7,"60,000",3,none,Volkswagen,Golf Plus,Manual,Diesel,Grey,Hatchback,"£2,281",,"£1,639","£2,125"
GU58FFE,2021-06-02,average,12.7,"87,211",4,partial,Toyota,Prius,Automatic,Petrol Hybrid,Blue,Hatchback,"£2,680",,"£2,371","£2,550"
SH14WLG,2021-06-02,average,7.1,"119,500",1,partial,Ford,Mondeo,Manual,Diesel,Red,Hatchback,"£2,847",,"£2,177","£2,700"
OY14GXL,2021-06-02,good,7.2,"109,366",2,partial,Vauxhall,Insignia,Manual,Diesel,Silver,Hatchback,"£3,028",,"£2,360","£2,875"
BK59YBT,2021-06-02,poor,11.6,"122,000",3,partial,Peugeot,207,Manual,Petrol,Silver,Hatchback,£150,,£50,£275
LS13XAJ,2021-06-02,excellent,8.1,"65,000",1,full,BMW,5 Series,Automatic,Diesel,White,Saloon,"£7,115",,"£7,160","£7,150"
YR10LNZ,2021-06-02,good,11.2,"120,000",2,full,Renault,Megane,Manual,Petrol,Silver,Hatchback,£312,,£436,£650
PR12GEN,2021-06-02,average,8.9,"159,000",3,partial,BMW,5 Series,Automatic,Diesel,Silver,Saloon,"£4,133",,"£3,209","£4,250"
NV10HWO,2021-06-02,average,11,"167,000",2,partial,Volkswagen,Passat,Manual,Diesel,Brown,Estate,£562,,£589,£900
RF06ZKP,2021-06-02,average,14.9,"115,121",3,partial,Ford,S-Max,Manual,Diesel,Silver,MPV,£891,,£766,"£1,025"
NX13VHU,2021-06-02,average,8.1,"101,400",1,full,Ford,Focus,Automatic,Petrol,Silver,Estate,"£2,485",,"£2,177","£2,325"
DV17EKW,2021-06-02,good,3.9,"80,000",1,partial,Vauxhall,Astra,Manual,Diesel,Grey,Hatchback,"£5,536",,"£4,966","£5,100"
HT16UHF,2021-06-02,good,4.8,"77,900",1,full,BMW,5 Series,Automatic,Diesel,Grey,Estate,"£12,572",,"£11,641","£13,200"
BN59NYY,2021-06-02,average,11.7,"120,000",4,none,Nissan,Qashqai,Manual,Petrol,Blue,Hatchback,"£1,465",,£938,"£1,475"
P44NAS,2021-06-02,average,11.7,"79,139",1,partial,Toyota,Yaris,Automatic,Petrol,Blue,Hatchback,"£1,952",,"£1,446","£1,975"
FL12ZCT,2021-06-02,average,9.2,"94,000",3,partial,SEAT,Leon,Manual,Diesel,Silver,Hatchback,"£2,091",,"£1,578","£1,900"
GY13JCZ,2021-06-02,excellent,8.1,"45,000",2,partial,Volkswagen,up!,Manual,Petrol,White,Hatchback,"£2,717",,"£3,000","£3,400"
WL11GXR,2021-06-02,good,9.9,"30,000",1,full,Mazda,Mazda3,Manual,Petrol,Blue,Hatchback,"£3,207",,"£2,551","£3,275"
